,ambiguity_type,distance_bert,distance_elmo,overlap,pos,same,source,string,version,word
202,Polysemy,0.447441041469574,0.12836092710494995,moderate overlap,N,False,Klepousniotou et al (2008),film,M1_b_M2_b,film
203,Polysemy,0.06588751077651978,0.10260891914367676,moderate overlap,N,True,Klepousniotou et al (2008),film,M2_a_M2_b,film
204,Polysemy,0.27552735805511475,0.10304367542266846,moderate overlap,N,True,Klepousniotou et al (2008),ground,M1_a_M1_b,ground
205,Polysemy,0.3826373219490051,0.07588380575180054,moderate overlap,N,False,Klepousniotou et al (2008),ground,M1_a_M2_a,ground
206,Polysemy,0.3720375895500183,0.07670527696609497,moderate overlap,N,False,Klepousniotou et al (2008),ground,M1_a_M2_b,ground
207,Polysemy,0.3391872048377991,0.08529913425445557,moderate overlap,N,False,Klepousniotou et al (2008),ground,M1_b_M2_a,ground
208,Polysemy,0.41953760385513306,0.10364681482315063,moderate overlap,N,False,Klepousniotou et al (2008),ground,M1_b_M2_b,ground
209,Polysemy,0.2225911021232605,0.02715897560119629,moderate overlap,N,True,Klepousniotou et al (2008),ground,M2_a_M2_b,ground
210,Unsure,0.240401029586792,0.06513094902038574,moderate overlap,N,True,Klepousniotou et al (2008),guide,M1_a_M1_b,guide
211,Unsure,0.16528713703155518,0.07140469551086426,moderate overlap,N,False,Klepousniotou et al (2008),guide,M1_a_M2_a,guide
